# Spherical harmonic coefficients for the Swarm High-latitude convection (Swarm Hi-C) model
# Produced 01 April 2026
#
# Based on Swarm convection measurements made between 2014-05 and 2025-10, inclusive, using EFI TII Cross-Track Flow Data version 0401 (https://earth.esa.int/eogateway/documents/20142/37627/swarm-EFI-TII-cross-track-flow-dataset-release-notes.pdf).
# Original file: model_v4.0FINAL_iteration_37.txt produced by Fasil Tesema, UiB
# Reference: Hatch et al. (2025), "Does high-latitude ionospheric electrodynamics exhibit hemispheric mirror symmetry?", Annales Geophysicae (https://doi.org/10.5194/angeo-42-229-2024)
#
# Coefficient unit: mV/m
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T)
# 
# column names:
#n m tor_c_const tor_s_const tor_c_sinca tor_s_sinca tor_c_cosca tor_s_cosca tor_c_epsilon tor_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca tor_c_tilt tor_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca tor_c_tau tor_s_tau tor_c_tau_sinca tor_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca tor_c_f107 tor_s_f107 
 3 0    -0.0968        nan    0.03391        nan   0.002485        nan    0.02301        nan   -0.05529        nan    0.02884        nan   0.001931        nan  -0.001061        nan   0.001224        nan   0.003039        nan   0.002191        nan   0.002233        nan   -0.02857        nan   -0.02504        nan     0.0306        nan  -0.002338        nan  -0.001825        nan  0.0002689        nan    0.00479        nan
 3 1   0.002128   -0.06843  -0.004035   0.009838    0.03536    0.07582 -0.0006683    0.08603   0.004122  -0.006619   -0.01746   -0.02841  -0.009412  -0.005047   0.001987  0.0007679   0.003856 -0.0002184  -0.001774  -0.002784  -0.001182 -0.0008641  -0.001552  -0.002075   0.009887    0.02001   0.001145 -0.0007994   -0.00849   -0.01404  -0.002921   -0.00515  -0.003657  -0.001858  -0.002103   -0.00573   0.005765   -0.02743
 4 0    0.09298        nan    0.01139        nan    0.06227        nan  -0.004506        nan    0.01116        nan   -0.00514        nan   0.002553        nan  -0.004709        nan   0.004588        nan  -0.003727        nan  0.0007856        nan   0.001379        nan   0.001413        nan  -0.008174        nan   0.001474        nan   0.004541        nan  -0.003636        nan -0.0007779        nan  -0.009303        nan
 4 1   -0.05127   -0.03326   -0.03881    0.03106  -0.003197  -0.001239     0.0109    0.01582    0.02261   -0.00607    0.01343   0.002649  -0.001095  -0.009855  0.0008436 -0.0008349  -0.001837  0.0006786  -0.002015   0.001482   0.001456   1.99e-05   0.004285    0.00142  -0.002958   0.009265   0.009827  -0.008803    0.01024  -0.002436   0.003475   -0.00357  -0.001538   0.001247   0.001852   0.002159    0.01048   -0.01017
 4 2  -0.009126     0.0326   -0.00249  -0.001554    0.01915  -0.007769  -0.002411     0.0124   0.001111  -0.001689   -0.01745  -0.004323 -5.398e-05  4.201e-06   0.002353 -0.0003307   0.002184 -0.0009316  0.0001458   0.003144  0.0007576  -0.001755 -0.0002233  -0.002144    0.01153    0.00769   -0.00169   0.002338    -0.0141  -0.004279   0.001105   0.003022  -0.003783  -0.004169   0.001254   0.002035  0.0004847   0.005238
 5 0   -0.09512        nan    0.04511        nan       0.01        nan    0.03227        nan   -0.08372        nan    0.03118        nan   0.001648        nan  5.721e-05        nan  0.0008955        nan   -0.00151        nan  -0.001254        nan   0.001531        nan   -0.03409        nan   -0.04603        nan    0.03392        nan -0.0008292        nan  0.0005231        nan   0.001629        nan -6.568e-05        nan
 5 1   -0.01543   -0.07877  -0.009756    0.02262    0.07178     0.1258    0.01362     0.1808   0.009509  -0.009012   -0.03071   -0.04426  -0.005881  -0.001511   0.002703 -0.0002225   0.003107 -0.0006916  -0.003856  -0.002153  -0.002111 -0.0006586   -0.00237  -0.001622    0.01833    0.03633 -0.0002192  7.144e-05   -0.01214   -0.03168   0.002327  -0.003256  -0.002085  -0.001186  -0.002206  -0.001806   0.004054   -0.01452
 5 2   -0.02989   -0.02426    0.00678   0.002335  -0.008792    0.01097   0.003915    0.01396  -0.004302  -0.002291   0.002587     0.0128   0.001657  -0.004416   0.001345  0.0004333  0.0004757  -0.001175 -0.0007424  -0.003056   0.004425  0.0005448 -0.0008698  -0.005066  0.0006888   -0.01123   0.001327  -0.001508   0.005055    0.01852   0.001463   0.001386  -0.004696  -0.001693  -0.004271   0.004716 -0.0009034  -0.001585
 5 3   0.001014   -0.01828 -0.0007493   0.003322 -0.0005786  -0.004298   0.004724  -0.003762   0.002223  -0.001995  0.0008072   0.002323  -0.003205  -0.002678   0.001442  -0.001908  7.865e-06    -0.0001  -0.001843  0.0006381  0.0001805  -0.002585   0.001102  -0.001646 -0.0005369   0.004032   0.000524  -0.001025   0.001926   0.001886  -0.001049  -0.003603  -0.001366  -0.003138  0.0007388  -0.003733  -0.001775   -0.01105
 6 0    0.02573        nan    0.00623        nan    0.08852        nan    0.02618        nan   0.008368        nan   0.004833        nan    0.00424        nan   0.001724        nan  -0.003559        nan   0.002507        nan   -0.00146        nan -0.0002012        nan  -0.001542        nan  -0.004715        nan   0.007375        nan  -0.005916        nan   0.001223        nan  0.0006942        nan   0.005428        nan
