# Spherical harmonic coefficients for the Swarm HEmispherically resolved Ionospheric Convection (SHEIC) model
# Produced 19 July 2023
#
# Based on Swarm convection measurements made between 2013-12 to 2020.
# Reference: Hatch, S. M., Vanhamäki, H., Laundal, K. M., Reistad, J. P., Burchill, J., Lomidze, L., Knudsen, D., Madelaire, M., & Tesfaw, H. (2023). Does high-latitude ionospheric electrodynamics exhibit hemispheric mirror symmetry? EGUsphere, 2023, 1–41. https://doi.org/10.5194/egusphere-2023-2920
#
# Coefficient unit: mV/m
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T)
# 
# column names:
#n m tor_c_const tor_s_const tor_c_sinca tor_s_sinca tor_c_cosca tor_s_cosca tor_c_epsilon tor_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca tor_c_tilt tor_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca tor_c_tau tor_s_tau tor_c_tau_sinca tor_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca tor_c_f107 tor_s_f107 
 3 0   -0.06533        nan    0.01885        nan  -0.001676        nan    0.03074        nan   -0.05769        nan  -0.004331        nan    0.01074        nan   0.009292        nan   -0.01085        nan   -0.01745        nan    0.01516        nan   0.002976        nan   -0.02202        nan   -0.01549        nan     0.0258        nan  -0.006541        nan  -0.008742        nan  -0.009378        nan   -0.01293        nan
 3 1    0.02264   -0.08502  -0.005366   0.008443    0.02264    0.09305    0.02393     0.0725    0.01029   -0.01402     -0.027    0.01187   -0.00398 -0.0007179   0.004509   -0.01822   -0.04195    0.05282   -0.00172    0.01303    0.02748   -0.03085   -0.01564   -0.04017   0.003179   0.008418   0.002803  -0.008925    0.02595   -0.03515    -0.0136  -0.002092   -0.03728    0.01726   0.007033    -0.0136    0.01817   -0.02329
 4 0    0.06482        nan    0.01275        nan    0.06792        nan     0.0216        nan  -0.007463        nan  -0.007099        nan   -0.01151        nan    0.01667        nan    0.02293        nan  -0.007673        nan  -0.008458        nan   0.001281        nan   0.001891        nan   -0.01366        nan -0.0005253        nan   -0.01017        nan   0.002156        nan   -0.01581        nan   -0.01923        nan
 4 1    0.07428    -0.0555   -0.05484    0.01736  -0.002149  -0.002962    0.02183   -0.01203    0.02322   0.003941   -0.02489    0.01828   -0.01656  -0.009883    0.02507   -0.02742   -0.01058  -0.002135   0.008475  8.836e-05  -0.005602  -0.001838  -0.004814  -0.006141    0.02235   0.004371   0.002147   -0.00318   0.003856    -0.0146   -0.01246  -0.003577  0.0003281    0.01387  -0.004723   0.007062    0.03498  -0.005063
 4 2    0.01073    0.03035  0.0006469   -0.01167    0.01527  -0.009814   -0.01537   -0.01131   0.005206    0.00501   -0.01482    0.02219   0.006325   0.008398   -0.01387   -0.02372   0.001815    0.04624   0.003218  -0.002987   0.001458  -0.006301   -0.04498   0.002641   0.002196   -0.01478   0.006978    0.01855   -0.02327   -0.03889   -0.02922    0.04944    0.01137    0.03328   -0.00222  -0.007785   0.006173   -0.01614
 5 0   -0.07653        nan     0.0366        nan   0.007632        nan    0.01924        nan   -0.08161        nan    0.05077        nan   0.009765        nan   -0.01015        nan    0.01334        nan   0.008125        nan   -0.01235        nan  -0.006831        nan   -0.03692        nan   -0.04924        nan    0.02546        nan  -0.002543        nan   0.008059        nan   0.003218        nan   0.003763        nan
 5 1   0.002704    -0.1572   -0.01423    0.02658    0.06123     0.1527    0.04202     0.1804   0.004233  -0.009877  -0.001933    -0.0227   -0.01319  -0.005577   0.009129 -0.0008705    0.01318   -0.01519   -0.01081    0.01536    -0.0157  -0.002005   0.004191    0.01923   -0.01248    0.04435   0.005589   -0.01228     0.0116   -0.01903   0.003789   0.005416    0.00389   -0.00731   -0.01505    0.00707  -0.002709   0.006649
 5 2   -0.02698   -0.02089  -0.003385  -0.006403   0.002874   0.006817  3.298e-05   -0.01429 -0.0003413  -0.002366    0.01276    0.04812    0.00394   0.005653   -0.01197   -0.01959  -0.009936    0.02465   0.007628  0.0001666  -0.004654   -0.00654  -0.005638  -0.009956  0.0009449  -0.008706  -0.002089   -0.01086  0.0008122 -0.0002432   0.007031   0.007545  -0.008438    0.02493  0.0003161   0.002246  -0.003852   -0.01793
 5 3    0.02176   -0.02321  -0.001925   0.003823   0.001115  -0.003696    -0.0122  -0.008262  -0.001293  -0.009724    0.02844     0.0181    0.01878   -0.02008   -0.03179   0.008722    0.05838    0.04014   -0.01967    0.01359   0.002825   -0.04442   -0.03462    0.06291   -0.01607   0.008643    0.00239  -0.004432   -0.02811   -0.01111    0.01694    0.06539   -0.01934    0.01808     0.0201    -0.0109    0.00583   -0.00168
 6 0   -0.03916        nan  -0.006129        nan     0.1049        nan   0.008469        nan   0.009869        nan   0.008167        nan    0.01742        nan   -0.01597        nan   -0.01792        nan    0.01106        nan   0.005912        nan   0.001064        nan   0.008089        nan  0.0005279        nan -0.0002637        nan   0.008473        nan  -0.007114        nan     0.0194        nan    0.01276        nan
 6 1    0.06438   -0.06605     -0.101    0.02743 -0.0003808   0.003034  -0.001351    0.02352    0.03579    -0.0039    0.01223   -0.01497   0.001125  -0.007065  -0.003792    0.01027   0.009023  -0.007376   -0.00373   0.005457   0.002306   0.002727   0.002932    0.00747   0.007716    0.01946    0.01973   -0.01107   -0.01009   0.002789    0.01217   0.001682    0.00697  -0.008268   0.001953   0.001683  -0.007725   0.005173
 6 2    0.02388    0.06025  0.0008792   -0.02087    0.03397   -0.04577   -0.01458  -0.003065   0.002128    0.01525   -0.03677    0.01082   -0.01231    0.01645   0.005286   -0.02212  -0.009426   -0.00814   0.005065    0.01316   -0.01624    0.01339    0.01137  -0.005113    0.03716    0.01533  -0.005577   0.009944   -0.03222    -0.0191   0.006745   0.009891    0.01391   -0.00242 -0.0003905   0.007806   0.005701  -0.002333
 6 3   0.002217  -0.005736   0.001991   0.002211   0.002569   -0.00408   -0.02412  -0.006446   0.009991   0.003876    0.02683    0.02064   0.006712   0.004822    -0.0264   -0.01343  7.188e-05    0.02442   0.004476  0.0003791   0.001206    0.01292    -0.0025    0.01096  -0.006606  -0.009836   0.002513   3.52e-05   -0.01265  -0.002131   0.006711    0.03262    0.01008  -0.002941  -0.001332   0.005414   -0.01016   -0.01499
 7 0   -0.06292        nan    0.04643        nan    0.01154        nan    0.03434        nan   -0.09372        nan    0.03977        nan  -0.001499        nan   0.003883        nan   -0.01155        nan   0.009032        nan   0.001402        nan    0.01441        nan   -0.03186        nan   -0.06012        nan    0.04184        nan    0.00698        nan  -0.004443        nan    0.01103        nan     0.0128        nan
 7 1   -0.06195    -0.1349   -0.01681     0.0369    0.08476     0.1012    0.05732     0.2289   0.006648  -0.007979    0.03313   -0.03851   0.007458  -0.001645  -0.006813    0.01499    0.01258     -0.009    0.01059   -0.01746 -0.0001752    0.01239   0.001162   0.002974   -0.01538    0.02685  -0.001124    0.01162    0.01693   -0.02236   0.004827  -0.004305    0.01123  -0.004406   0.008861   -0.00275  -0.004736    0.00959
 7 2   -0.07382   -0.03828  -0.002113  0.0003191  0.0006446  -0.002432    0.01269    0.02067 -0.0009068 -0.0009054   0.004964     0.0194  -0.007025 -0.0008215   0.007785   0.001931  -0.007921   -0.01962   0.006306   0.005717  -0.007386    0.01102    0.02157  -0.004204   0.005546   -0.01242  -0.007751  -0.007614   0.007426    0.03236    0.01241  -0.007388   0.001222  -0.003639  -0.008024  0.0002513   0.001214   0.002885
 7 3    0.06081    -0.0731   0.002884    0.01342  -0.005364   -0.01875   -0.01096   -0.02229   0.003669 -0.0001923    0.03367    0.01572    0.00414   0.001539   -0.02328   -0.01475  -0.001539    0.02779   -0.01504 -0.0002391    0.01191    0.01315    0.01543  -0.006255   0.005931   0.009374   -0.01067 -9.721e-05   -0.00924   -0.00968   -0.00954  -0.007667   0.006195   0.009258   0.002299   0.006624   -0.01378   -0.02218
 8 0    -0.1646        nan   -0.02636        nan    0.09794        nan    0.04489        nan   0.001493        nan  -0.007356        nan  -0.001008        nan   0.009766        nan  -0.003232        nan  -0.002947        nan  -0.002646        nan  0.0006534        nan   0.008452        nan   0.006945        nan   0.001035        nan   -0.00358        nan   0.002266        nan  -0.003086        nan  0.0005215        nan
 8 1  -0.002364   -0.02786    -0.1121     0.0167   0.002163    0.01783  -0.002779    0.02169    0.03798    -0.0083    0.01913  -0.008361    0.01819   0.008986   -0.01343   0.008779  -0.005464    0.01252  0.0002021  -0.006868   0.005225  -0.001404 -0.0008747  -0.003917  -0.006711   0.004063    0.02467  -0.004754   0.002671  -0.004962  -0.006994  -0.002841   -0.01125   0.001351   0.004467  -0.006004   -0.01707  -0.004969
 8 2    0.03323    0.06073   0.001891   -0.01404    0.02829   -0.09404   0.002015    0.02303   -0.00139  -0.001774   -0.04567   -0.01417   0.002633   -0.01354   0.005373    0.02448   0.008237   -0.01086   -0.00452  -0.005763    0.01072  -0.008121   0.006748   0.001842    0.04174    0.03022  -0.008493 -3.495e-05   -0.03346  -0.003252   0.007309   -0.01943   -0.01279   -0.01065   0.002731  -0.008945  1.245e-05   0.007876
 8 3   0.002413   -0.01976   0.008874   0.004968   0.003205   -0.01503   -0.00376    0.00018   0.006253   0.007193   0.002815    0.01714  -0.005271    0.01186   0.004498   -0.01489   -0.01848  0.0008745   0.001845  0.0003966  -0.001942    0.01284    0.01775   -0.01732   0.007008   -0.02043  -0.002005   0.004329   0.004734    0.01271   -0.01228   -0.02726    0.01053  -0.003583   -0.01356    -0.0122  -0.003642   -0.01574
 9 0   -0.05293        nan    0.03446        nan    0.01198        nan    0.04224        nan    -0.1044        nan    0.01723        nan  -0.004175        nan   0.008988        nan   0.004786        nan   -0.01657        nan   0.002629        nan  -0.008976        nan   -0.03406        nan   -0.04501        nan    0.02984        nan  -0.004636        nan   0.002156        nan   -0.01144        nan  -0.008704        nan
